brand,url_part,title,final Price,Original Price
AKS,kurtas/aks/aks-women-white--peach-coloured-chanderi-silk-printed-a-line-kurta/2111418/buy,Printed A-Line Kurta,999,1999
AKS,kurtas/aks/aks-women-green-solid-anarkali-kurta/2250066/buy,Solid Anarkali Kurta,649,1299
AKS,kurtas/aks/aks-women-orange--off-white-printed-straight-kurta/2250040/buy,Printed Straight Kurta,699,999
AKS,kurtas/aks/aks-women-blue--rust-red-printed-a-line-kurta/1945108/buy,Printed A-Line Kurta,749,1499
AKS,kurtas/aks/aks-women-coffee-brown-solid-straight-kurta/2448878/buy,Solid Straight Kurta,560,1099
AKS,kurtas/aks/aks-women-blue--white-printed-anarkali-kurta/1975422/buy,Printed Anarkali Kurta,809,1799
AKS,kurtas/aks/aks-women-navy-blue--white-printed-anarkali-kurta/2463737/buy,Printed Anarkali Kurta,1049,1499
AKS,kurtas/aks/aks-women-black--rust-printed-anarkali-kurta/2127696/buy,Printed Anarkali Kurta,849,1699
AKS,kurtas/aks/aks-women-green-printed-off-shoulder-straight-kurta/1945081/buy,Printed Straight Kurta,458,899
AKS,kurtas/aks/aks-women-beige--red-printed-anarkali-kurta/2127697/buy,Printed Anarkali Kurta,799,1599
AKS,kurtas/aks/aks-women-cream-coloured--maroon-printed-straight-kurta/2250063/buy,Printed Straight Kurta,629,899
AKS,kurtas/aks/aks-women-yellow--red-printed-anarkali-kurta/2249988/buy,Printed Anarkali Kurta,649,1299
AKS,kurtas/aks/aks-women-blue--yellow-printed-a-line-kurta/2448951/buy,Printed A-Line Kurta,844,1299
AKS,kurtas/aks/aks-women-navy-blue-straight-kurta/2167399/buy,Straight Kurta,749,1499
AKS,kurtas/aks/aks-women-grey--white-printed-a-line-kurta/2493397/buy,Printed A-Line Kurta,1049,1499
AKS,kurtas/aks/aks-women-olive-green--blue-printed-anarkali-kurta/2262323/buy,Printed Anarkali Kurta,999,1999
AKS,kurtas/aks/aks-women-maroon--green-printed-anarkali-kurta/2111400/buy,Printed Anarkali Kurta,799,1599
AKS,kurtas/aks/aks-women-white--blue-printed-straight-kurta/1945075/buy,Printed Straight Kurta,629,899
AKS,kurtas/aks/aks-women-yellow--green-printed-layered-a-line-kurta/2493387/buy,Printed Layered A-Line Kurta,1044,1899
AKS,kurtas/aks/aks-women-mustard-yellow-kalamkari-print-anarkali-kurta/2095443/buy,Kalamkari Print Anarkali Kurta,815,1599
AKS,kurtas/aks/aks-women-navy-hand-block-print-a-line-kurta/2167358/buy,Hand Block Print A-Line Kurta,999,1999
AKS,kurtas/aks/aks-women-maroon-printed-anarkali-kurta/2250030/buy,Printed Anarkali Kurta,749,1499
AKS,kurtas/aks/aks-women-pink-solid-a-line-kurta/1945067/buy,Solid A-Line Kurta,749,999
AKS,kurtas/aks/aks-women-navy-blue--red-printed-straight-kurta/2493385/buy,Printed Straight Kurta,749,999
AKS,kurtas/aks/aks-women-red--white-printed-a-line-kurta/1945100/buy,Printed A-Line Kurta,799,1599
AKS,kurtas/aks/aks-women-off-white--blue-embroidered-anarkali-kurta/2463725/buy,Embroidered Anarkali Kurta,1399,1999
AKS,kurtas/aks/aks-women-olive-green-solid-straight-kurta-with-tassels/2448942/buy,Solid Straight Kurta,659,1099
AKS,kurtas/aks/aks-women-mustard-yellow--maroon-printed-straight-kurta/2250064/buy,Printed Straight Kurta,629,899
AKS,kurtas/aks/aks-women-white--blue-hand-block-print-anarkali-kurta/2463726/buy,Block Print Anarkali Kurta,1399,1999
AKS,kurtas/aks/aks-women-navy-printed-straight-kurta/2493383/buy,Printed Straight Kurta,824,1099
AKS,kurtas/aks/aks-women-navy--pink-printed-angrakha-anarkali-kurta/2493399/buy,Printed Anarkali Kurta,1049,1499
AKS,kurtas/aks/aks-women-maroon--blue-printed-a-line-kurta/2250024/buy,Printed A-Line Kurta,649,1299
AKS,kurtas/aks/aks-women-brown-dyed-a-line-kurta/2250052/buy,Dyed A-Line Kurta,899,1999
AKS,kurtas/aks/aks-maroon--blue-printed-anarkali-kurta/2082412/buy,Printed Anarkali Kurta,849,1699
AKS,kurtas/aks/aks-women-mustard--rust-printed-anarkali-kurta/1951418/buy,Printed Anarkali Kurta,809,1799
AKS,kurtas/aks/aks-women-black-woven-design-a-line-kurta/2095572/buy,Woven Design A-Line Kurta,749,1499
AKS,kurtas/aks/aks-women-cream-coloured--green-printed-straight-kurta/1945087/buy,Printed Straight Kurta,749,1499
AKS,kurtas/aks/aks-women-green-cold-shoulder-striped-straight-kurta/2111512/buy,Striped Straight Kurta,604,1099
AKS,kurtas/aks/aks-women-navy-printed-straight-kurta/2095543/buy,Printed Straight Kurta,728,899
AKS,kurtas/aks/aks-women-blue-printed-a-line-kurta/2262305/buy,Printed A-Line Kurta,662,1299
AKS,kurtas/aks/aks-women-navy-blue--red-printed-a-line-kurta/2250034/buy,Printed A-Line Kurta,749,1499
AKS,kurtas/aks/aks-women-navy-blue--rust-red-printed-anarkali-kurta/2262267/buy,Printed Anarkali Kurta,854,1899
AKS,kurtas/aks/aks-women-blue--pink-floral-print-anarkali-kurta/2095562/buy,Printed Anarkali Kurta,849,1699
AKS,kurtas/aks/aks-women-green--orange-printed-cold-shoulder-straight-kurta/2111375/buy,Printed Straight Kurta,604,1099
AKS,kurtas/aks/aks-women-black--yellow-striped-detail-a-line-kurta/2448925/buy,Striped Detail A-Line Kurta,909,1299
AKS,kurtas/aks/aks-women-grey--off-white-printed-straight-kurta/2111367/buy,Printed Straight Kurta,649,1299
AKS,kurtas/aks/aks-women-navy--off-white-printed-straight-kurta/2493380/buy,Printed Straight Kurta,824,1099
AKS,kurtas/aks/aks-women-red--beige-printed-anarkali-kurta/2111398/buy,Printed Anarkali Kurta,809,1799
AKS,kurtas/aks/aks-women-coral-pink-embellished-anarkali-kurta/2111403/buy,Embellished Anarkali Kurta,1099,2199
