"kurtas/anouk/anouk-women-pink-printed-a-line-kurta/2323065/buy","Pink printed A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Cotton Machine-wash"
"kurtas/anouk/anouk-women-white--coral-pink-striped-straight-kurta/2322960/buy","White and coral pink striped straight kurta, has a round neck, three-quarter sleeves, curved hem, side slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-blue-printed-a-line-off-shoulder-kurta/2322823/buy","Blue printed A-line kurta, has a off-shoulder neck, three-quarter sleeves, straight hem, side slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-red-genda-phul-collection-chanderi-blend-kurta/2323262/buy","Red yoke design A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","Chanderi blendMachine-wash"
"kurtas/anouk/anouk-women-green-embroidered-a-line-kurta/2135023/buy","Green embroidered A-line kurta, has a round neck, three-quarter sleeves, high-low hem, front slit","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-red-printed-a-line-fusion-kurta/1926944/buy","Red printed A-line kurta, has a round neck, three-quarter sleeves, flared hem","100% cotton  Hand-wash"
"kurtas/anouk/anouk-women-navy--white-printed-a-line-kurta/1786192/buy","Navy blue and white printed A-line kurta, has a round neck, three-quarter flared sleeves, flared hem, no slits","100% cotton Hand-wash"
"kurtas/anouk/anouk-women-mustard-yellow--black-printed-a-line-kurta/2291758/buy","Mustard yellow and black printed A-line kurta, has a mandarin collar, long sleeves, straight hem, no slits","Viscose Rayon  Hand-wash"
"kurtas/anouk/anouk-women-mustard-yellow-printed-a-line-kurta/2322775/buy","Mustard yellow printed A-line kurta, has a round neck, three-quarter sleeves, straight hem, no slits","100% cottonHand-wash"
"kurtas/anouk/anouk-women-mustard-yellow--black-printed-a-line-fusion-kurta/1708252/buy","Mustard yellow and black printed A-line kurta, has a mandarin collar, a short button placket, three-quarter roll-up sleeves, straight hem","100% viscose Hand-wash"
"kurtas/anouk/anouk-women-navy-blue-woven-checked-straight-kurta/1707755/buy","Navy blue checked woven straight kurta, has a V-neck, three-quarter sleeves, straight hem, bobble trim","Rayon Machine-wash"
"kurtas/anouk/anouk-women-black--off-white-printed-a-line-kurta/2294512/buy","Black and off-white printed A-line kurta, has a round neck, three-quarter sleeves, flared hem, no slits","100% viscoseMachine-wash"
