"kurtas/anouk/anouk-women-blue--pink-printed-a-line-kurta/1681335/buy","Blue and pink printed A-line kurta, has a mandarin collar, three-quarter sleeves, straight hem, front slit","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-black--grey-striped-a-line-kurta/1705028/buy","Black and grey striped A-line kurta, has a shirt collar, a full button placket, three-quarter sleeves, a patch pocket, high-low hem","100% polyester Hand-wash"
"kurtas/anouk/anouk-multicoloured-digital-print-polyester-kurta/1167513/buy","Multicoloured digital print kurta, has a mandarin collar with a split V-neckline, a short concealed hook-and-eye closure, three-quarter sleeves, side slits","100% polyesterHand-wash cold"
"kurtas/anouk/anouk-women-green-solid-straight-kurta/1435765/buy","Green solid straight kurta, has a mandarin collar, three quarter sleeve, straight hem","Polyester  Hand-wash"
"kurtas/anouk/anouk-women-blue-straight-kurta/1435813/buy","Blue straight kurta, has a mandarin collar, three-quarter sleeve, straight hem, multiple slits","100% cotton Hand-wash"
"kurtas/anouk/anouk-women-blue-solid-straight-kurta/1427150/buy","Blue solid straight kurta, has a mandarin collar, three-quarter sleeves, straight hem","100% rayonHand-wash"
"kurtas/anouk/anouk-women-rust-red-solid-a-line-kurta/1427154/buy","Rust red solid A-line kurta, has a round neck, three-quarter sleeves, asymmetric hem","88% cotton, 12% linenHand-wash"
"kurtas/anouk/anouk-women-green-solid-straight-kurta/1427152/buy","Green solid straight kurta, has a mandarin collar, a button placket with a slit, three-quarter sleeves, straight hem","100% rayonHand-wash"
"kurtas/anouk/anouk-women-black-solid-a-line-kurta/1427156/buy","Black solid A-line kurta, has a round neck, three-quarter sleeves, asymmetric hem","88% cotton, 12% linenHand-wash"
"kurtas/anouk/anouk-women-green-woven-design-anarkali-kurta/1415587/buy","Green woven design anarkali kurta, has a round neck, three quarter sleeve, flared hem","Cotton  Hand-wash"
"kurtas/anouk/anouk-women-blue-printed-straight-kurta/1415576/buy","Blue printed straight kurta, has a mandarin collar, a full button&nbsp;placket, three-quarter sleeves, straight hem","Cotton  Hand-wash"
"kurtas/anouk/anouk-multicoloured-digital-print-kurta/1361722/buy","Multicoloured digital print kurta, has a round neck, short sleeves, slits on the front,&nbsp;a straight hem","100% rayonHand-wash cold"
"kurtas/anouk/anouk-black-digital-print-a-line-kurta/1361715/buy","Black and white A-line digital&nbsp;print woven kurta, has a spread collar with a short button placket, three quarter sleeves with button and tab feature, slits on the front and sides","100% rayonHand-wash cold"
"kurtas/anouk/anouk-purple--green-printed-kurta/1361732/buy","Purple and green&nbsp;printed&nbsp;woven kurta, has a round&nbsp;neck, three-quarter sleeves, side slits, a dipped hem, an attached lining","100% polyesterMachine-wash"
"kurtas/anouk/anouk-brown--black-printed-kurta/1556707/buy","Brown and black printed kurta, has a round neck, three-quarter sleeves, multiple slits","CottonMachine-wash cold"
"kurtas/anouk/anouk-women-black--beige-printed-a-line-kurta/1570804/buy","Black and beige printed A-line kurta, has a notched mandarin collar, short sleeves with roll-up tabs, slits on the front and sides, curved hem","100% polyester  Hand-wash"
"kurtas/anouk/anouk-women-red-solid-high-low-kurta/1548322/buy","Red solid high-low kurta, has a mandarin collar, long sleeves, a short button placket,&nbsp;high-low hem","100% cotton  Hand-wash"
"kurtas/anouk/anouk-women-maroon-printed-kurta/1548315/buy","Maroon printed a-line kurta, has a round neck, three-quarter sleeve, side slits, high-low hem","Cotton  Hand-wash"
"kurtas/anouk/anouk-women-beige--rust-red-printed-a-line-kurta/1548491/buy","Beige and rust red printed A-line kurta, has a round neck, three-quarter sleeves, side slits, straight hem","100% cotton Machine-wash"
"kurtas/anouk/anouk-red--black-georgette-checked-kurta-with-high-slits/1446661/buy","Red and black checked&nbsp;kurta, has a round neck, short sleeves, two high slits, attached lining in the bodice","100% polyester GeorgetteHand-wash"
"kurtas/anouk/anouk-black--white-printed-kurta/1446589/buy","Black and white printed kurta, has a round neck, short sleeves, two slits on the front","100% rayonHand-wash cold"
"kurtas/anouk/anouk-black--white-printed-kurta/1446592/buy","Black and white printed kurta, has a round neck, short sleeves, two slits on the front","100% rayonHand-wash cold"
"kurtas/anouk/anouk-women-black--off-white-printed-straight-kurta/1495370/buy","Black and off-white printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% polyester Hand-wash"
"kurtas/anouk/anouk-women-off-white-solid-a-line-kurta/1501741/buy","Off-white solid A-line kurta, has a round neck with sequinned detail below, sleeveless, asymmetric hem","Polyester blend Hand-wash"
"kurtas/anouk/anouk-women-black-floral-print-straight-kurta/1495369/buy","Black floral print straight kurta, has a round neck, three-quarter sleeves with roll-up tab features, straight hemComes with a lining","100% polyesterHand-wash"
"kurtas/anouk/anouk-women-maroon--silver-toned-striped-straight-kurta/1495346/buy","Maroon and silver-toned solid straight kurta, has a mandarin collar, a full button placket, three-quarter sleeves, side slits, curved high-low hem","100% viscoseHand-wash"
"kurtas/anouk/anouk-women-purple--silver-toned-striped-straight-kurta/1495345/buy","Purple and silver-toned solid straight kurta, has a mandarin collar, a full button placket, three-quarter sleeves, side slits, curved high-low hem","100% viscoseHand-wash"
"kurtas/anouk/anouk-women-black--silver-toned-striped-straight-kurta/1495344/buy","Black and silver-toned solid straight kurta, has a mandarin collar, a full button placket, three-quarter sleeves, side slits, curved high-low hem","100% viscoseHand-wash"
"kurtas/anouk/anouk-women-black-solid-a-line-kurta/1501740/buy","Black solid A-line kurta, has a round neck with sequinned detail below, sleeveless, asymmetric hem","Polyester blend Hand-wash"
"kurtas/anouk/anouk-women-beige-solid-a-line-kurta/1501742/buy","Beige solid A-line kurta, has a round neck with sequinned detail below, sleeveless, asymmetric hem","Polyester blend Hand-wash"
"kurtas/anouk/anouk-women-off-white--red-printed-straight-kurta/1679906/buy","Off-white and red printed straight kurta, has a round neck, three-quarter sleeves, curved hem","98% polyester, 2% elastane Machine-wash"
"kurtas/anouk/anouk-women-black-solid-straight-kurta/1679916/buy","Black and red solid straight kurta, has a round neck, three-quarter sleeves, high-low hem, front slit","Polyester Machine-wash"
"kurtas/anouk/anouk-women-red-solid-a-line-kurta/1679927/buy","Red solid a-line kurta, has a mandarin collar with a split-V neck, three-quarter sleeves, curved hem","Polyester Machine-wash"
"kurtas/anouk/anouk-women-red-solid-a-line-kurta/1679924/buy","Red and off-white A-line kurta, has a round neck, three-quarter sleeves, asymmetric hem","100% polyester  Machine-wash"
"kurtas/anouk/anouk-women-blue-printed-request-chambray-straight-kurta/1680888/buy","Blue printed straight kurta, has a round neck, sleeveless, asymmetric hem","Cotton  Machine-wash"
"kurtas/anouk/anouk-women-blue-solid-straight-chambray-kurta/1680934/buy","Blue solid pathani kurta, has a shirt collar, sleeveless, high-low hem","100% cotton  Machine-wash"
"kurtas/anouk/anouk-blue--magenta-colourblocked-a-line-kurta/1681343/buy","Blue and magenta kurta, has a round neck with a tie-up detail on the back, three-quarter sleeves with floral print on the hems, high-low hem","100% cotton Machine-wash"
"kurtas/anouk/anouk-women-magenta--black-printed-straight-kurta/1681387/buy","Magenta and black printed straight kurta, has a mandarin collar with short button placket, sleeveless, straight hem","100% polyester Machine-wash"
"kurtas/anouk/anouk-women-blue--white-printed-straight-kurta/1685275/buy","Blue and white printed straight kurta, has a round neck, three-quarter sleeves, straight hem, side slits","100% polyester Machine-wash"
"kurtas/anouk/anouk-women-blue-printed-straight-kurta/1685293/buy","Blue printed straight kurta, has a round neck, sleeveless, straight hem, side slits","100% polyester Machine-wash"
"kurtas/anouk/anouk-women-white--orange-printed-a-line-kurta/1685282/buy","White and orange printed A-line kurta, has a notched mandarin collar, sleeveless, straight hem","100% polyester  Machine-wash"
"kurtas/anouk/anouk-women-orange-yoke-design-a-line-kurta/1770973/buy","Orange printed kurta, has a mandarin collar, three-quarter sleeves, high-low hem","Polyester  Machine-wash"
